상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시군구명,법정동명,경도,위도
더캔펍,,음식,유흥주점,호프/맥주,세종특별자치시,대평동,127.2757325,36.4738026
가방수선하는남자,,생활서비스,개인/가정용품수리,가방구두수전,세종특별자치시,도담동,127.2559536,36.51288401
CU,조치원월하점,소매,종합소매점,편의점,세종특별자치시,연서면,127.2925386,36.57672333
홍익돈가스,,소매,종합소매점,종합소매,세종특별자치시,고운동,127.2345996,36.51932778
수철이네,,소매,종합소매점,종합소매,세종특별자치시,대평동,127.2772216,36.47327089
세차의요정,,생활서비스,자동차/이륜차,세차장,세종특별자치시,다정동,127.2422466,36.49654877
이르망플라워,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,고운동,127.2406285,36.5056498
오땡큐,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,종촌동,127.2532015,36.50185393
구기자메밀막국수,,음식,분식,국수/만두/칼국수,세종특별자치시,연동면,127.3226295,36.56134317
아이올라공방,,소매,종합소매점,종합소매,세종특별자치시,나성동,127.2574567,36.48642456
좋은아침,,소매,종합소매점,종합소매,세종특별자치시,나성동,127.2570397,36.49035129
이마트,24세종쁘띠테라스점,소매,종합소매점,할인점,세종특별자치시,대평동,127.2757329,36.47376655
비주얼스크린,,소매,종합소매점,종합소매,세종특별자치시,어진동,127.2624501,36.5083011
유아성장재활,,소매,종합소매점,종합소매,세종특별자치시,어진동,127.2624501,36.5083011
씨티솔라에너지,,소매,철물/난방/건설자재소매,철물/건설자재소매,세종특별자치시,장군면,127.1895789,36.49382345
한빛광택,,생활서비스,자동차/이륜차,광택전문,세종특별자치시,연기면,127.2255935,36.54801833
이마트,,소매,종합소매점,할인점,세종특별자치시,다정동,127.2485063,36.49562406
새들피아노,,학문/교육,학원-음악미술무용,피아노/바이올린/기타,세종특별자치시,아름동,127.2462045,36.5165989
여우,,음식,커피점/카페,커피전문점/카페/다방,세종특별자치시,조치원읍,127.3006499,36.59662483
꽃그리다바이엘라,,소매,선물/팬시/기념품,꽃집/꽃배달,세종특별자치시,한솔동,127.2614199,36.47924839
깐쪼네,,음식,양식,정통양식/경양식,세종특별자치시,다정동,127.2547486,36.49184204
하우스테디,,소매,종합소매점,종합소매,세종특별자치시,새롬동,127.2510038,36.48663657
ABC헤어,다정점,생활서비스,이/미용/건강,여성미용실,세종특별자치시,다정동,127.2486071,36.49443508
미니재이,,소매,종합소매점,종합소매,세종특별자치시,종촌동,127.2453131,36.50147084
자림,,소매,종합소매점,종합소매,세종특별자치시,어진동,127.2622669,36.50760603
에스티투어,,소매,종합소매점,종합소매,세종특별자치시,나성동,127.2574567,36.48642456
자금성,,소매,종합소매점,종합소매,세종특별자치시,나성동,127.2588936,36.49023664
면체반,,소매,종합소매점,종합소매,세종특별자치시,어진동,127.2624501,36.5083011
미래한국음악,,소매,종합소매점,종합소매,세종특별자치시,새롬동,127.2518434,36.48404632
서생앤상인,,소매,종합소매점,종합소매,세종특별자치시,나성동,127.2574567,36.48642456
용인대새봄태권도,,학문/교육,학원-예능취미체육,태권도장,세종특별자치시,새롬동,127.2503427,36.48574922
용인대성민태권도,,학문/교육,학원-예능취미체육,태권도장,세종특별자치시,새롬동,127.2510038,36.48663657
하나태권도,,학문/교육,학원-예능취미체육,태권도장,세종특별자치시,다정동,127.2485063,36.49562406
복권판매,,소매,기타판매업,복권판매,세종특별자치시,나성동,127.2562005,36.48940879
한민채헤어포인트,,생활서비스,이/미용/건강,여성미용실,세종특별자치시,어진동,127.2624501,36.5083011
에듀코칭앤판다스데이타,,학문/교육,학원-보습교습입시,학원-입시,세종특별자치시,종촌동,127.2469141,36.49982271
바짝수학,,학문/교육,학원-보습교습입시,학원-입시,세종특별자치시,종촌동,127.2507573,36.50295611
새빛태권도,,학문/교육,학원-예능취미체육,태권도장,세종특별자치시,새롬동,127.2503427,36.48574922
용인대SK태권도,,학문/교육,학원-예능취미체육,태권도장,세종특별자치시,새롬동,127.2503427,36.48574922
